Academic_Year,County_Code,District_Code,School_Code,County_Name,District_Name,School_Name,District_Type,School_Type,Educational_Option_Type,NSLP_Provision_Status,Charter_School,Charter_School_Number,Charter_Funding_Type,IRC,Low_Grade,High_Grade,Enrollment_K12,Free_Meal_Count_K12,Percent_Eligible_Free_K12,FRPM_Count_K12,Percent_Eligible_FRPM_K12,Enrollment_Ages5_17,Free_Meal_Count_Ages_5_17,Percent_Eligible_Free_Ages_5_17,FRPM_Count_Ages_5_17,Percent_Eligible_FRPM_Ages_5_17,2015-16_CALPADS_Fall_1_Certification_Status
2014-2015,07,10074,0107334,Contra Costa,Contra Costa County Office of Education,Central County Special Education Programs,County Office of Education (COE),Special Education Schools (Public),Special Education School,,N,,,N,K,12,45,6,13.3%,6,13.3%,40,6,15.0%,6,15.0%,Y
2014-2015,07,10074,0107342,Contra Costa,Contra Costa County Office of Education,East County Elementary Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,,N,,,N,K,12,63,26,41.3%,30,47.6%,49,24,49.0%,27,55.1%,Y
2014-2015,07,10074,0114470,Contra Costa,Contra Costa County Office of Education,Making Waves Academy,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,0868,Directly funded,N,5,12,760,472,62.1%,631,83.0%,752,469,62.4%,626,83.2%,Y
2014-2015,07,10074,0118208,Contra Costa,Contra Costa County Office of Education,Heritage CCCOE Special Education Programs,County Office of Education (COE),Special Education Schools (Public),Special Education School,,N,,,N,K,12,80,30,37.5%,30,37.5%,63,24,38.1%,24,38.1%,Y
2014-2015,07,10074,0120444,Contra Costa,Contra Costa County Office of Education,Mt. McKinley,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,N,,,N,7,12,135,46,34.1%,46,34.1%,117,44,37.6%,44,37.6%,Y
2014-2015,07,10074,0129528,Contra Costa,Contra Costa County Office of Education,Caliber: Beta Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1622,Directly funded,Y,K,8,294,198,67.3%,234,79.6%,289,193,66.8%,229,79.2%,Y
2014-2015,07,10074,0129684,Contra Costa,Contra Costa County Office of Education,Summit Public School K2,County Office of Education (COE),High Schools (Public),Traditional,,Y,1650,Directly funded,Y,7,12,125,56,44.8%,81,64.8%,125,56,44.8%,81,64.8%,Y
2014-2015,07,10074,0730242,Contra Costa,Contra Costa County Office of Education,Delta Vista High,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,N,,,N,7,12,68,12,17.6%,12,17.6%,54,11,20.4%,11,20.4%,Y
2014-2015,07,10074,0730614,Contra Costa,Contra Costa County Office of Education,Golden Gate Community,County Office of Education (COE),County Community,County Community School,,N,,,N,6,12,107,77,72.0%,89,83.2%,105,75,71.4%,87,82.9%,Y
2014-2015,07,10074,0731380,Contra Costa,Contra Costa County Office of Education,Clayton Valley Charter High,County Office of Education (COE),High Schools (Public),Traditional,,Y,1400,Directly funded,Y,9,12,"1,973",237,12.0%,338,17.1%,"1,927",229,11.9%,328,17.0%,Y
2014-2015,07,10074,6077168,Contra Costa,Contra Costa County Office of Education,Floyd I. Marchus,County Office of Education (COE),Special Education Schools (Public),Special Education School,,N,,,N,K,12,116,55,47.4%,64,55.2%,114,55,48.2%,64,56.1%,Y
2014-2015,07,61630,0000001,Contra Costa,Acalanes Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,26,0,0.0%,0,0.0%,19,0,0.0%,0,0.0%,Y
2014-2015,07,61630,0107524,Contra Costa,Acalanes Union High,Acalanes Center for Independent Study,High School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,31,0,0.0%,1,3.2%,26,0,0.0%,0,0.0%,Y
2014-2015,07,61630,0730283,Contra Costa,Acalanes Union High,Acalanes High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,396",26,1.9%,37,2.7%,"1,335",25,1.9%,35,2.6%,Y
2014-2015,07,61630,0731125,Contra Costa,Acalanes Union High,Campolindo High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,253",19,1.5%,31,2.5%,"1,222",18,1.5%,30,2.5%,Y
2014-2015,07,61630,0733725,Contra Costa,Acalanes Union High,Las Lomas High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,541",124,8.0%,158,10.3%,"1,490",119,8.0%,151,10.1%,Y
2014-2015,07,61630,0734244,Contra Costa,Acalanes Union High,Miramonte High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,155",8,0.7%,17,1.5%,"1,131",8,0.7%,17,1.5%,Y
2014-2015,07,61648,0000001,Contra Costa,Antioch Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,128,25,19.5%,25,19.5%,110,22,20.0%,22,20.0%,Y
2014-2015,07,61648,0100461,Contra Costa,Antioch Unified,Lone Tree Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,792,454,57.3%,530,66.9%,792,454,57.3%,530,66.9%,Y
2014-2015,07,61648,0100479,Contra Costa,Antioch Unified,Dallas Ranch Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,238",567,45.8%,698,56.4%,"1,238",567,45.8%,698,56.4%,Y
2014-2015,07,61648,0106583,Contra Costa,Antioch Unified,Carmen Dragon Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,481,276,57.4%,325,67.6%,442,259,58.6%,307,69.5%,Y
2014-2015,07,61648,0110494,Contra Costa,Antioch Unified,Bidwell Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,180,113,62.8%,117,65.0%,141,88,62.4%,91,64.5%,Y
2014-2015,07,61648,0113761,Contra Costa,Antioch Unified,Orchard Park,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,8,784,382,48.7%,464,59.2%,784,382,48.7%,464,59.2%,Y
2014-2015,07,61648,0115063,Contra Costa,Antioch Unified,Antioch Charter Academy II,Unified School District,Elementary Schools (Public),Traditional,,Y,0909,Directly funded,Y,K,8,190,45,23.7%,70,36.8%,185,44,23.8%,69,37.3%,Y
2014-2015,07,61648,0117218,Contra Costa,Antioch Unified,Dozier-Libbey Medical High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,652,273,41.9%,351,53.8%,644,270,41.9%,345,53.6%,Y
2014-2015,07,61648,0730101,Contra Costa,Antioch Unified,Live Oak High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,10,12,165,111,67.3%,117,70.9%,135,90,66.7%,95,70.4%,Y
2014-2015,07,61648,0730259,Contra Costa,Antioch Unified,Prospects High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,433,195,45.0%,201,46.4%,304,143,47.0%,149,49.0%,Y
2014-2015,07,61648,0730465,Contra Costa,Antioch Unified,Deer Valley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,659","1,189",44.7%,"1,437",54.0%,"2,554","1,133",44.4%,"1,376",53.9%,Y
2014-2015,07,61648,0730481,Contra Costa,Antioch Unified,Bridges,Unified School District,District Community Day Schools,Community Day School,,N,,,N,9,12,8,7,87.5%,8,100.0%,8,7,87.5%,8,100.0%,Y
2014-2015,07,61648,0730861,Contra Costa,Antioch Unified,Antioch High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,774","1,066",60.1%,"1,222",68.9%,"1,708","1,020",59.7%,"1,170",68.5%,Y
2014-2015,07,61648,6003578,Contra Costa,Antioch Unified,Belshaw Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,540,341,63.1%,398,73.7%,540,341,63.1%,398,73.7%,Y
2014-2015,07,61648,6003594,Contra Costa,Antioch Unified,Fremont Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,552,492,89.1%,521,94.4%,552,492,89.1%,521,94.4%,Y
2014-2015,07,61648,6003602,Contra Costa,Antioch Unified,Kimball Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,544,461,84.7%,499,91.7%,527,447,84.8%,485,92.0%,Y
2014-2015,07,61648,6003610,Contra Costa,Antioch Unified,Marsh Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,537,477,88.8%,507,94.4%,537,477,88.8%,507,94.4%,Y
2014-2015,07,61648,6003628,Contra Costa,Antioch Unified,Sutter Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,631,331,52.5%,397,62.9%,597,316,52.9%,381,63.8%,Y
2014-2015,07,61648,6003636,Contra Costa,Antioch Unified,Turner Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,613,489,79.8%,533,86.9%,576,462,80.2%,505,87.7%,Y
2014-2015,07,61648,6057178,Contra Costa,Antioch Unified,Antioch Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,759,643,84.7%,689,90.8%,759,643,84.7%,689,90.8%,Y
2014-2015,07,61648,6061154,Contra Costa,Antioch Unified,Park Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,997,630,63.2%,730,73.2%,997,630,63.2%,730,73.2%,Y
2014-2015,07,61648,6084941,Contra Costa,Antioch Unified,Mission Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,672,480,71.4%,556,82.7%,672,480,71.4%,556,82.7%,Y
2014-2015,07,61648,6108989,Contra Costa,Antioch Unified,Muir (John) Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,598,276,46.2%,329,55.0%,598,276,46.2%,329,55.0%,Y
2014-2015,07,61648,6110514,Contra Costa,Antioch Unified,Jack London Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,515,318,61.7%,365,70.9%,514,318,61.9%,364,70.8%,Y
2014-2015,07,61648,6113104,Contra Costa,Antioch Unified,Black Diamond Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,667,398,59.7%,453,67.9%,667,398,59.7%,453,67.9%,Y
2014-2015,07,61648,6115380,Contra Costa,Antioch Unified,Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,500,307,61.4%,337,67.4%,498,305,61.2%,335,67.3%,Y
2014-2015,07,61648,6115703,Contra Costa,Antioch Unified,Antioch Charter Academy,Unified School District,Elementary Schools (Public),Traditional,,Y,0143,Directly funded,Y,K,8,197,33,16.8%,40,20.3%,192,32,16.7%,39,20.3%,Y
2014-2015,07,61648,6117501,Contra Costa,Antioch Unified,Diablo Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,546,279,51.1%,342,62.6%,546,279,51.1%,342,62.6%,Y
2014-2015,07,61655,0000000,Contra Costa,Brentwood Union Elementary,District Office,Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,K,8,12,1,8.3%,1,8.3%,12,1,8.3%,1,8.3%,Y
2014-2015,07,61655,0000001,Contra Costa,Brentwood Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,9,1,11.1%,1,11.1%,9,1,11.1%,1,11.1%,Y
2014-2015,07,61655,0102376,Contra Costa,Brentwood Union Elementary,Pioneer Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,879,150,17.1%,196,22.3%,861,148,17.2%,193,22.4%,Y
2014-2015,07,61655,0108019,Contra Costa,Brentwood Union Elementary,Marsh Creek Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,693,204,29.4%,258,37.2%,676,200,29.6%,253,37.4%,Y
2014-2015,07,61655,0110528,Contra Costa,Brentwood Union Elementary,Adams (J. Douglas) Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,106",163,14.7%,219,19.8%,"1,106",163,14.7%,219,19.8%,Y
2014-2015,07,61655,0127464,Contra Costa,Brentwood Union Elementary,Mary Casey Black Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,546,252,46.2%,298,54.6%,532,245,46.1%,291,54.7%,Y
2014-2015,07,61655,6003644,Contra Costa,Brentwood Union Elementary,Brentwood Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,594,176,29.6%,211,35.5%,578,170,29.4%,204,35.3%,Y
2014-2015,07,61655,6003651,Contra Costa,Brentwood Union Elementary,Edna Hill Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,898,271,30.2%,334,37.2%,898,271,30.2%,334,37.2%,Y
2014-2015,07,61655,6070981,Contra Costa,Brentwood Union Elementary,Garin Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,643,173,26.9%,212,33.0%,628,164,26.1%,203,32.3%,Y
2014-2015,07,61655,6109730,Contra Costa,Brentwood Union Elementary,Ron Nunn Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,546,66,12.1%,102,18.7%,529,66,12.5%,99,18.7%,Y
2014-2015,07,61655,6112718,Contra Costa,Brentwood Union Elementary,William B. Bristow Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,122",219,19.5%,274,24.4%,"1,122",219,19.5%,274,24.4%,Y
2014-2015,07,61655,6117410,Contra Costa,Brentwood Union Elementary,Loma Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,621,61,9.8%,90,14.5%,606,60,9.9%,88,14.5%,Y
2014-2015,07,61655,6119754,Contra Costa,Brentwood Union Elementary,R. Paul Krey Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,893,102,11.4%,143,16.0%,876,100,11.4%,138,15.8%,Y
2014-2015,07,61663,0130930,Contra Costa,Byron Union Elementary,Vista Oaks Charter,Elementary School District,K-12 Schools (Public),Traditional,,Y,1684,Directly funded,Y,K,12,368,81,22.0%,142,38.6%,345,70,20.3%,126,36.5%,Y
2014-2015,07,61663,6003669,Contra Costa,Byron Union Elementary,Excelsior Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,571,126,22.1%,165,28.9%,571,126,22.1%,165,28.9%,Y
2014-2015,07,61663,6101943,Contra Costa,Byron Union Elementary,Discovery Bay Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,493,159,32.3%,182,36.9%,480,158,32.9%,180,37.5%,Y
2014-2015,07,61663,6119838,Contra Costa,Byron Union Elementary,Timber Point Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,531,79,14.9%,93,17.5%,531,79,14.9%,93,17.5%,Y
2014-2015,07,61671,6003677,Contra Costa,Canyon Elementary,Canyon Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,N,,,N,K,8,68,7,10.3%,7,10.3%,68,7,10.3%,7,10.3%,Y
2014-2015,07,61697,0000001,Contra Costa,John Swett Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,4,0,0.0%,0,0.0%,4,0,0.0%,0,0.0%,Y
2014-2015,07,61697,0737023,Contra Costa,John Swett Unified,John Swett High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,529,238,45.0%,292,55.2%,513,230,44.8%,284,55.4%,Y
2014-2015,07,61697,0737619,Contra Costa,John Swett Unified,Willow High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,K,12,51,27,52.9%,28,54.9%,39,21,53.8%,22,56.4%,Y
2014-2015,07,61697,6003685,Contra Costa,John Swett Unified,Carquinez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,382,232,60.7%,267,69.9%,382,232,60.7%,267,69.9%,Y
2014-2015,07,61697,6003701,Contra Costa,John Swett Unified,Rodeo Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,733,454,61.9%,530,72.3%,713,445,62.4%,518,72.7%,Y
2014-2015,07,61705,6003719,Contra Costa,Knightsen Elementary,Knightsen Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,,N,,,N,K,8,532,136,25.6%,178,33.5%,527,136,25.8%,178,33.8%,Y
2014-2015,07,61713,6003727,Contra Costa,Lafayette Elementary,Burton Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,771,12,1.6%,12,1.6%,757,12,1.6%,12,1.6%,Y
2014-2015,07,61713,6003743,Contra Costa,Lafayette Elementary,Happy Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,535,5,0.9%,6,1.1%,522,5,1.0%,6,1.1%,Y
2014-2015,07,61713,6003750,Contra Costa,Lafayette Elementary,Lafayette Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,554,17,3.1%,17,3.1%,554,17,3.1%,17,3.1%,Y
2014-2015,07,61713,6003768,Contra Costa,Lafayette Elementary,M. H. Stanley Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,178",36,3.1%,36,3.1%,"1,178",36,3.1%,36,3.1%,Y
2014-2015,07,61713,6003792,Contra Costa,Lafayette Elementary,Springhill Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,487,19,3.9%,19,3.9%,487,19,3.9%,19,3.9%,Y
2014-2015,07,61721,0000001,Contra Costa,Liberty Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,16,0,0.0%,0,0.0%,11,0,0.0%,0,0.0%,Y
2014-2015,07,61721,0107797,Contra Costa,Liberty Union High,Heritage High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,503",289,11.5%,349,13.9%,"2,464",284,11.5%,342,13.9%,Y
2014-2015,07,61721,0730457,Contra Costa,Liberty Union High,Freedom High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,550",739,29.0%,910,35.7%,"2,489",717,28.8%,885,35.6%,Y
2014-2015,07,61721,0730572,Contra Costa,Liberty Union High,Independence High,High School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,331,67,20.2%,68,20.5%,229,41,17.9%,42,18.3%,Y
2014-2015,07,61721,0733980,Contra Costa,Liberty Union High,Liberty High,High School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,520",717,28.5%,846,33.6%,"2,396",672,28.0%,794,33.1%,Y
2014-2015,07,61721,0733998,Contra Costa,Liberty Union High,La Paloma High (Continuation),High School District,Continuation High Schools,Continuation School,,N,,,N,9,12,167,68,40.7%,75,44.9%,130,57,43.8%,62,47.7%,Y
2014-2015,07,61739,0000001,Contra Costa,Martinez Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,9,2,22.2%,2,22.2%,8,2,25.0%,2,25.0%,Y
2014-2015,07,61739,0730440,Contra Costa,Martinez Unified,Vicente Martinez High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,110,43,39.1%,51,46.4%,99,39,39.4%,47,47.5%,Y
2014-2015,07,61739,0730473,Contra Costa,Martinez Unified,Briones (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,38,10,26.3%,14,36.8%,29,7,24.1%,9,31.0%,Y
2014-2015,07,61739,0730549,Contra Costa,Martinez Unified,Alhambra Senior High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,181",202,17.1%,275,23.3%,"1,150",196,17.0%,267,23.2%,Y
2014-2015,07,61739,6003826,Contra Costa,Martinez Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,434,158,36.4%,195,44.9%,414,153,37.0%,190,45.9%,Y
2014-2015,07,61739,6003834,Contra Costa,Martinez Unified,John Swett Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,514,60,11.7%,79,15.4%,500,59,11.8%,78,15.6%,Y
2014-2015,07,61739,6003842,Contra Costa,Martinez Unified,Las Juntas Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,427,213,49.9%,256,60.0%,427,213,49.9%,256,60.0%,Y
2014-2015,07,61739,6003875,Contra Costa,Martinez Unified,Morello Park Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,530,62,11.7%,82,15.5%,530,62,11.7%,82,15.5%,Y
2014-2015,07,61739,6057186,Contra Costa,Martinez Unified,Martinez Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,978,230,23.5%,317,32.4%,978,230,23.5%,317,32.4%,Y
2014-2015,07,61747,6003909,Contra Costa,Moraga Elementary,Camino Pablo Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,396,1,0.3%,1,0.3%,382,1,0.3%,1,0.3%,Y
2014-2015,07,61747,6003917,Contra Costa,Moraga Elementary,Donald L. Rheem Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,410,9,2.2%,9,2.2%,410,9,2.2%,9,2.2%,Y
2014-2015,07,61747,6003925,Contra Costa,Moraga Elementary,Joaquin Moraga Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,684,13,1.9%,13,1.9%,684,13,1.9%,13,1.9%,Y
2014-2015,07,61747,6003933,Contra Costa,Moraga Elementary,Los Perales Elementary,Elementary School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,362,7,1.9%,7,1.9%,362,7,1.9%,7,1.9%,Y
2014-2015,07,61754,0000000,Contra Costa,Mt. Diablo Unified,District Office,Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,K,Adult,70,21,30.0%,25,35.7%,59,19,32.2%,23,39.0%,Y
2014-2015,07,61754,0000001,Contra Costa,Mt. Diablo Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,123,33,26.8%,36,29.3%,113,32,28.3%,35,31.0%,Y
2014-2015,07,61754,0106088,Contra Costa,Mt. Diablo Unified,Delta View Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,654,276,42.2%,352,53.8%,634,271,42.7%,345,54.4%,Y
2014-2015,07,61754,0730044,Contra Costa,Mt. Diablo Unified,Northgate High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,671",121,7.2%,154,9.2%,"1,609",114,7.1%,147,9.1%,Y
2014-2015,07,61754,0730317,Contra Costa,Mt. Diablo Unified,Horizons Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,12,138,27,19.6%,31,22.5%,129,24,18.6%,28,21.7%,Y
2014-2015,07,61754,0730333,Contra Costa,Mt. Diablo Unified,Gateway High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,19,15,78.9%,16,84.2%,17,14,82.4%,15,88.2%,Y
2014-2015,07,61754,0730341,Contra Costa,Mt. Diablo Unified,Nueva Vista High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,35,14,40.0%,16,45.7%,29,12,41.4%,14,48.3%,Y
2014-2015,07,61754,0730358,Contra Costa,Mt. Diablo Unified,Prospect High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,26,12,46.2%,12,46.2%,25,12,48.0%,12,48.0%,Y
2014-2015,07,61754,0730416,Contra Costa,Mt. Diablo Unified,Crossroads High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,39,30,76.9%,34,87.2%,28,22,78.6%,24,85.7%,Y
2014-2015,07,61754,0730424,Contra Costa,Mt. Diablo Unified,Summit High (Continuation),Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,48,27,56.3%,29,60.4%,39,21,53.8%,23,59.0%,Y
2014-2015,07,61754,0730655,Contra Costa,Mt. Diablo Unified,Diablo Community Day,Unified School District,District Community Day Schools,Community Day School,,N,,,N,7,12,13,12,92.3%,12,92.3%,12,11,91.7%,11,91.7%,Y
2014-2015,07,61754,0731646,Contra Costa,Mt. Diablo Unified,College Park High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"2,022",370,18.3%,472,23.3%,"1,971",358,18.2%,459,23.3%,Y
2014-2015,07,61754,0731836,Contra Costa,Mt. Diablo Unified,Concord High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,544",578,37.4%,746,48.3%,"1,504",565,37.6%,730,48.5%,Y
2014-2015,07,61754,0734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,352",892,66.0%,"1,047",77.4%,"1,282",850,66.3%,998,77.8%,Y
2014-2015,07,61754,0734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,Unified School District,Continuation High Schools,Continuation School,,N,,,N,9,12,320,202,63.1%,217,67.8%,242,149,61.6%,163,67.4%,Y
2014-2015,07,61754,0737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,Unified School District,High Schools (Public),Traditional,,N,,,N,9,12,"1,134",753,66.4%,857,75.6%,"1,085",729,67.2%,824,75.9%,Y
2014-2015,07,61754,6003958,Contra Costa,Mt. Diablo Unified,Ayers Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,455,128,28.1%,150,33.0%,434,124,28.6%,145,33.4%,Y
2014-2015,07,61754,6003966,Contra Costa,Mt. Diablo Unified,Bancroft Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,525,58,11.0%,67,12.8%,525,58,11.0%,67,12.8%,Y
2014-2015,07,61754,6003974,Contra Costa,Mt. Diablo Unified,Bel Air Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,504,434,86.1%,469,93.1%,504,434,86.1%,469,93.1%,Y
2014-2015,07,61754,6003982,Contra Costa,Mt. Diablo Unified,Cambridge Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,696,636,91.4%,672,96.6%,688,629,91.4%,664,96.5%,Y
2014-2015,07,61754,6004030,Contra Costa,Mt. Diablo Unified,El Dorado Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,976,545,55.8%,652,66.8%,976,545,55.8%,652,66.8%,Y
2014-2015,07,61754,6004048,Contra Costa,Mt. Diablo Unified,El Monte Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,464,245,52.8%,292,62.9%,456,244,53.5%,291,63.8%,Y
2014-2015,07,61754,6004055,Contra Costa,Mt. Diablo Unified,Fair Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,403,287,71.2%,324,80.4%,388,280,72.2%,314,80.9%,Y
2014-2015,07,61754,6004063,Contra Costa,Mt. Diablo Unified,Foothill Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,"1,014",89,8.8%,114,11.2%,"1,014",89,8.8%,114,11.2%,Y
2014-2015,07,61754,6004097,Contra Costa,Mt. Diablo Unified,Hidden Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,806,204,25.3%,255,31.6%,787,202,25.7%,253,32.1%,Y
2014-2015,07,61754,6004105,Contra Costa,Mt. Diablo Unified,Highlands Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,641,90,14.0%,116,18.1%,625,88,14.1%,114,18.2%,Y
2014-2015,07,61754,6004154,Contra Costa,Mt. Diablo Unified,Meadow Homes Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,866,773,89.3%,817,94.3%,854,763,89.3%,806,94.4%,Y
2014-2015,07,61754,6004162,Contra Costa,Mt. Diablo Unified,Monte Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,555,91,16.4%,114,20.5%,555,91,16.4%,114,20.5%,Y
